tau,match_id,rmse_pinn,rmse_baseline1
0.5,J03WMX,0.088,0.511
0.5,J03WN1,0.079,0.528
0.5,J03WOH,0.095,0.52
0.5,J03WOY,0.073,0.563
0.5,J03WPY,0.092,0.526
0.5,J03WQQ,0.075,0.561
0.5,J03WR9,0.089,0.516
1.0,J03WMX,0.084,1.891
1.0,J03WN1,0.094,1.864
1.0,J03WOH,0.082,1.845
1.0,J03WOY,0.065,1.992
1.0,J03WPY,0.089,1.926
1.0,J03WQQ,0.07,1.938
1.0,J03WR9,0.09,1.826
1.5,J03WMX,0.12,4.194
1.5,J03WN1,0.115,4.085
1.5,J03WOH,0.121,3.962
1.5,J03WOY,0.117,4.292
1.5,J03WPY,0.114,4.22
1.5,J03WQQ,0.117,4.12
1.5,J03WR9,0.117,3.953
2.0,J03WMX,0.185,6.906
2.0,J03WN1,0.106,6.683
2.0,J03WOH,0.108,6.354
2.0,J03WOY,0.131,6.936
2.0,J03WPY,0.135,6.876
2.0,J03WQQ,0.117,6.593
2.0,J03WR9,0.148,6.387
2.5,J03WMX,0.393,10.186
2.5,J03WN1,0.326,9.944
2.5,J03WOH,0.279,9.256
2.5,J03WOY,0.297,10.268
2.5,J03WPY,0.369,10.139
2.5,J03WQQ,0.302,9.629
2.5,J03WR9,0.379,9.396
