condition,delta_t,alpha,vmax
constant_no_noise,0.2,0.9525946580636798,12.421476083892612
constant_no_noise,0.48,0.9472145873764266,12.400887109822321
constant_no_noise,1.0,0.9445462083865073,12.396038910491137
constant_no_noise,2.0,0.9417743159168893,12.394355235445824
constant_no_noise,3.0,0.9391131392599623,12.393890612348988
constant_noise_sigma0.1,0.2,0.954002613299012,13.751201313143842
constant_noise_sigma0.1,0.48,0.9469649643193817,12.45086120928947
constant_noise_sigma0.1,1.0,0.9443102489358196,12.401409415048123
constant_noise_sigma0.1,2.0,0.9417676673820315,12.395246256336517
constant_noise_sigma0.1,3.0,0.9390373130633389,12.394263570546292
constant_noise_sigma0.3,0.2,0.9568196313941585,23.65160776543766
constant_noise_sigma0.3,0.48,0.9464657099315955,12.828583701246862
constant_noise_sigma0.3,1.0,0.9438385120182519,12.431487683953677
constant_noise_sigma0.3,2.0,0.9417543936153225,12.399028978618446
constant_noise_sigma0.3,3.0,0.9388856678506968,12.395619507702346
constant_noise_sigma0.5,0.2,0.95963769086809,36.37357251379285
constant_noise_sigma0.5,0.48,0.9459665321863413,13.625106256668747
constant_noise_sigma0.5,1.0,0.9433669110862433,12.487537258389107
constant_noise_sigma0.5,2.0,0.9417411200430686,12.405481321541199
constant_noise_sigma0.5,3.0,0.9387340565582806,12.397789000693312
constant_noise_sigma1.0,0.2,0.9666874003067452,69.71967910938132
constant_noise_sigma1.0,0.48,0.9447189229909352,17.51038891111184
constant_noise_sigma1.0,1.0,0.9421885032211166,12.744531283735121
constant_noise_sigma1.0,2.0,0.9417079369631391,12.433316766550032
constant_noise_sigma1.0,3.0,0.9383551766417848,12.406775890050795
timevarying_no_noise,0.2,0.02342774982685892,191.2939397348478
timevarying_no_noise,0.48,0.024513235028088158,178.0480418286036
timevarying_no_noise,1.0,0.05669058231228888,72.8193530126678
timevarying_no_noise,2.0,0.224853950686456,15.41141065175299
timevarying_no_noise,3.0,0.32501397096049384,9.393797823235307
timevarying_noise,0.2,0.027164100791070112,706.906699689721
timevarying_noise,0.48,0.023952614984462096,218.71251134145558
timevarying_noise,1.0,0.05628888091655903,74.12789414211196
timevarying_noise,2.0,0.22484550930614855,15.435514198710534
timevarying_noise,3.0,0.3249315154446342,9.398848444515522
