match_id,condition,delta_t,alpha,vmax
J03WN1,constant_no_noise,0.2,0.9382918996264181,12.380542537214042
J03WN1,constant_no_noise,0.48,0.9330079831234523,12.359404380236171
J03WN1,constant_no_noise,1.0,0.9303993117275521,12.354453342976239
J03WN1,constant_no_noise,2.0,0.9277144748886647,12.352735838427014
J03WN1,constant_no_noise,3.0,0.9251520168036342,12.352263082460912
J03WN1,constant_noise_sigma0.1,0.2,0.9396973510708375,13.757023722254882
J03WN1,constant_noise_sigma0.1,0.48,0.9327594055092354,12.410785013219492
J03WN1,constant_noise_sigma0.1,1.0,0.9301654657452095,12.35992046744972
J03WN1,constant_noise_sigma0.1,2.0,0.9277079646259995,12.353637120682672
J03WN1,constant_noise_sigma0.1,3.0,0.9250777130407184,12.352636800986545
J03WN1,constant_noise_sigma0.3,0.2,0.9425090860328157,23.89430980297915
J03WN1,constant_noise_sigma0.3,0.48,0.9322623279387648,12.799884842913308
J03WN1,constant_noise_sigma0.3,1.0,0.9296977920752864,12.390697374044946
J03WN1,constant_noise_sigma0.3,2.0,0.9276948955715557,12.357481918394713
J03WN1,constant_noise_sigma0.3,3.0,0.9249291669557518,12.35400622825492
J03WN1,constant_noise_sigma0.5,0.2,0.9453218587282622,36.83156405453002
J03WN1,constant_noise_sigma0.5,0.48,0.9317653263914257,13.622525392233083
J03WN1,constant_noise_sigma0.5,1.0,0.9292302522486792,12.448122946509393
J03WN1,constant_noise_sigma0.5,2.0,0.9276818267062336,12.364049627041233
J03WN1,constant_noise_sigma0.5,3.0,0.9247806535954413,12.356202136634337
J03WN1,constant_noise_sigma1.0,0.2,0.952358335248499,70.67372638541703
J03WN1,constant_noise_sigma1.0,0.48,0.9305231549825846,17.61259287890281
J03WN1,constant_noise_sigma1.0,1.0,0.9280619877853638,12.711718983149936
J03WN1,constant_noise_sigma1.0,2.0,0.9276491553703021,12.392407735457263
J03WN1,constant_noise_sigma1.0,3.0,0.9244095132827869,12.365311731366738
J03WN1,timevarying_no_noise,0.2,0.025181120060934068,177.2155858417682
J03WN1,timevarying_no_noise,0.48,0.025801333201689255,168.40961637664887
J03WN1,timevarying_no_noise,1.0,0.05274935423215316,78.21476776379077
J03WN1,timevarying_no_noise,2.0,0.21776111538835463,15.957110062902087
J03WN1,timevarying_no_noise,3.0,0.31985924247489844,9.54365692633483
J03WN1,timevarying_noise,0.2,0.02891843256580835,663.9747002214942
J03WN1,timevarying_noise,0.48,0.025240432812665897,206.97155932060522
J03WN1,timevarying_noise,1.0,0.052348625207989066,79.66004368566638
J03WN1,timevarying_noise,2.0,0.21775276168938448,15.981764893922467
J03WN1,timevarying_noise,3.0,0.31977755657551826,9.548777464242681
