match_id,condition,delta_t,alpha,vmax
J03WOH,constant_no_noise,0.2,1.0876968581459614,11.172878459657246
J03WOH,constant_no_noise,0.48,1.0814663259877355,11.15580561360618
J03WOH,constant_no_noise,1.0,1.078346107357857,11.151862794488027
J03WOH,constant_no_noise,2.0,1.0750079323131378,11.150515572847418
J03WOH,constant_no_noise,3.0,1.0717241388254364,11.150150625419377
J03WOH,constant_noise_sigma0.1,0.2,1.0891300134312836,12.32498131059594
J03WOH,constant_noise_sigma0.1,0.48,1.081206144474006,11.199919224306207
J03WOH,constant_noise_sigma0.1,1.0,1.0780902464516202,11.15657156828095
J03WOH,constant_noise_sigma0.1,2.0,1.0750002793482043,11.151354328405537
J03WOH,constant_noise_sigma0.1,3.0,1.0716323813396964,11.150471159525033
J03WOH,constant_noise_sigma0.3,0.2,1.0919973623743497,20.99214317130342
J03WOH,constant_noise_sigma0.3,0.48,1.0806859131113176,11.534442205482419
J03WOH,constant_noise_sigma0.3,1.0,1.077578602830615,11.183771218159853
J03WOH,constant_noise_sigma0.3,2.0,1.0749849381385155,11.15496945634247
J03WOH,constant_noise_sigma0.3,3.0,1.071448895644587,11.151723712936723
J03WOH,constant_noise_sigma0.5,0.2,1.0948657877104901,32.21433486372385
J03WOH,constant_noise_sigma0.5,0.48,1.0801657644735927,12.239610773933999
J03WOH,constant_noise_sigma0.5,1.0,1.077067117009754,11.234851174136063
J03WOH,constant_noise_sigma0.5,2.0,1.074969597180481,11.161169835389154
J03WOH,constant_noise_sigma0.5,3.0,1.0712654570768365,11.153792101870383
J03WOH,constant_noise_sigma1.0,0.2,1.1020415652237159,61.719402626565056
J03WOH,constant_noise_sigma1.0,0.48,1.0788657546409908,15.68814028732382
J03WOH,constant_noise_sigma1.0,1.0,1.0757890922493305,11.470071446175258
J03WOH,constant_noise_sigma1.0,2.0,1.074931245886331,11.188007304407567
J03WOH,constant_noise_sigma1.0,3.0,1.0708070667035507,11.162536461760661
J03WOH,timevarying_no_noise,0.2,0.020283308535667382,222.81115638259513
J03WOH,timevarying_no_noise,0.48,0.022619691098442005,194.74230995777492
J03WOH,timevarying_no_noise,1.0,0.06536469310160323,63.82687278443376
J03WOH,timevarying_no_noise,2.0,0.24847242187378216,14.154249388999304
J03WOH,timevarying_no_noise,3.0,0.34848702826348,9.02283906852703
J03WOH,timevarying_noise,0.2,0.024018163470195177,799.6301835083675
J03WOH,timevarying_noise,0.48,0.022059370970336663,238.89262544148391
J03WOH,timevarying_noise,1.0,0.06496067600713866,64.90383260187089
J03WOH,timevarying_noise,2.0,0.24846368801452032,14.176340901469084
J03WOH,timevarying_noise,3.0,0.34840096718947616,9.027541318260344
