match_id,condition,delta_t,alpha,vmax
J03WOY,constant_no_noise,0.2,1.00349223276974,12.166136035418813
J03WOY,constant_no_noise,0.48,0.9977830566415062,12.147124710589047
J03WOY,constant_no_noise,1.0,0.994926664093979,12.142646130560003
J03WOY,constant_no_noise,2.0,0.9919010018373383,12.141090413429323
J03WOY,constant_no_noise,3.0,0.9889562752668091,12.140659696940764
J03WOY,constant_noise_sigma0.1,0.2,1.0049098798693814,13.3924789982506
J03WOY,constant_noise_sigma0.1,0.48,0.997529597511915,12.193843934633614
J03WOY,constant_noise_sigma0.1,1.0,0.9946833365823633,12.147720296546318
J03WOY,constant_noise_sigma0.1,2.0,0.9918940245181811,12.141952632084202
J03WOY,constant_noise_sigma0.1,3.0,0.9888747394819825,12.141017997363981
J03WOY,constant_noise_sigma0.3,0.2,1.0077457686625575,22.677941686494922
J03WOY,constant_noise_sigma0.3,0.48,0.9970225283465584,12.54632140748414
J03WOY,constant_noise_sigma0.3,1.0,0.9941968892431633,12.176176058538527
J03WOY,constant_noise_sigma0.3,2.0,0.9918800002696232,12.145611902260018
J03WOY,constant_noise_sigma0.3,3.0,0.9887116414543174,12.142329392043933
J03WOY,constant_noise_sigma0.5,0.2,1.0105827119018242,34.74585515438989
J03WOY,constant_noise_sigma0.5,0.48,0.9965155380656858,13.286942902727871
J03WOY,constant_noise_sigma0.5,1.0,0.9937105857678593,12.229211103723362
J03WOY,constant_noise_sigma0.5,2.0,0.9918659762355878,12.151849604637025
J03WOY,constant_noise_sigma0.5,3.0,0.9885485819067239,12.144437417792457
J03WOY,constant_noise_sigma1.0,0.2,1.0176796880093124,66.49082437790425
J03WOY,constant_noise_sigma1.0,0.48,0.9952484073336999,16.927819913245465
J03WOY,constant_noise_sigma1.0,1.0,0.9924954559725876,12.472282890870888
J03WOY,constant_noise_sigma1.0,2.0,0.9918309170889965,12.178748293234845
J03WOY,constant_noise_sigma1.0,3.0,0.9881411012851258,12.153196491014524
J03WOY,timevarying_no_noise,0.2,0.038552843275280434,118.75059130470876
J03WOY,timevarying_no_noise,0.48,0.04081477657670079,109.42166161520271
J03WOY,timevarying_no_noise,1.0,0.0864428415958206,49.08711016811129
J03WOY,timevarying_no_noise,2.0,0.27145565549884,13.25049502421593
J03WOY,timevarying_no_noise,3.0,0.37723440918299306,8.452149842672672
J03WOY,timevarying_noise,0.2,0.04229682326641636,454.85708799663246
J03WOY,timevarying_noise,0.48,0.04025115025143752,132.24408029505406
J03WOY,timevarying_noise,1.0,0.08603314353745399,49.83245939813961
J03WOY,timevarying_noise,2.0,0.2714466618077094,13.270837526544398
J03WOY,timevarying_noise,3.0,0.37714375126361604,8.456541858361746
