match_id,condition,delta_t,alpha,vmax
J03WR9,constant_no_noise,0.2,1.0450194347394204,11.419771434361719
J03WR9,constant_no_noise,0.48,1.0390625620999274,11.401646301876466
J03WR9,constant_no_noise,1.0,1.036095674153452,11.397451210981721
J03WR9,constant_no_noise,2.0,1.0329632756927618,11.396016771368018
J03WR9,constant_no_noise,3.0,1.029909951474371,11.395626238510838
J03WR9,constant_noise_sigma0.1,0.2,1.0464447111619075,12.63685735324453
J03WR9,constant_noise_sigma0.1,0.48,1.0388056984673997,11.447827861969346
J03WR9,constant_noise_sigma0.1,1.0,1.035846242382881,11.402357252377863
J03WR9,constant_noise_sigma0.1,2.0,1.0329559061009854,11.396873094393984
J03WR9,constant_noise_sigma0.1,3.0,1.0298234501045624,11.395959089654168
J03WR9,constant_noise_sigma0.3,0.2,1.049296077541245,21.708721183088258
J03WR9,constant_noise_sigma0.3,0.48,1.0382921726752834,11.798212366690313
J03WR9,constant_noise_sigma0.3,1.0,1.035347492335241,11.430575189683223
J03WR9,constant_noise_sigma0.3,2.0,1.0329412426568003,11.400559633656803
J03WR9,constant_noise_sigma0.3,3.0,1.0296504805562967,11.39724050618626
J03WR9,constant_noise_sigma0.5,0.2,1.052148509138758,33.38169673202455
J03WR9,constant_noise_sigma0.5,0.48,1.0377787276415023,12.538096122350515
J03WR9,constant_noise_sigma0.5,1.0,1.0348488928869013,11.483517496544417
J03WR9,constant_noise_sigma0.5,2.0,1.032926579444859,11.406880018670053
J03WR9,constant_noise_sigma0.5,3.0,1.0294775535922778,11.39934435672925
J03WR9,constant_noise_sigma1.0,0.2,1.059284253340993,64.00993722767832
J03WR9,constant_noise_sigma1.0,0.48,1.0364954682201781,16.14164717899082
J03WR9,constant_noise_sigma1.0,1.0,1.0336030525918125,11.727245575179142
J03WR9,constant_noise_sigma1.0,2.0,1.0328899224310306,11.434230517024389
J03WR9,constant_noise_sigma1.0,3.0,1.0290454223699355,11.408206247445676
J03WR9,timevarying_no_noise,0.2,0.024879055067842503,180.12362726581574
J03WR9,timevarying_no_noise,0.48,0.025754384296475332,169.36654880538956
J03WR9,timevarying_no_noise,1.0,0.05559423425362849,74.20486916193991
J03WR9,timevarying_no_noise,2.0,0.22477571350193606,15.336930094999689
J03WR9,timevarying_no_noise,3.0,0.32884277230171594,9.154890023013136
J03WR9,timevarying_noise,0.2,0.028616361788347058,671.0918841055827
J03WR9,timevarying_noise,0.48,0.025193390418594617,207.87475229849122
J03WR9,timevarying_noise,1.0,0.055192810986387675,75.54909537406739
J03WR9,timevarying_noise,2.0,0.22476726528846558,15.361136633754919
J03WR9,timevarying_noise,3.0,0.32875974198700697,9.159926202741103
